,date,total_visits,most_visited_url,most_visited_count,educational_productivity,entertainment,other_broad,coding,streaming,medical,financial,educational,gaming,social_media,news_media,other_narrow
0,all,17861,bohpimdoclnmgldeegbpibkhmpkhblbf,15270,0.0255,0.0347,0.9399,0.0105,0,0,0,0.015,0,0.0036,0,0.9709
1,2023-11-01,43,youtube.com,35,0.0,0.8605,0.1395,0.0,0,0,0,0.0,0,0.0465,0,0.9535
2,2023-11-02,134,chat.openai.com,77,0.5746,0.1269,0.2985,0.0,0,0,0,0.5746,0,0.0,0,0.4254
3,2023-11-03,76,exam.nowcoder.com,41,0.0263,0.0526,0.9211,0.0,0,0,0,0.0263,0,0.0,0,0.9737
4,2023-11-04,4,youtube.com,4,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1.0
5,2023-11-05,13,google.com,4,0.0,0.3846,0.6154,0.0,0,0,0,0.0,0,0.1538,0,0.8462
6,2023-11-06,265,china.player.ondemand.shlglobal.cn,52,0.0528,0.0868,0.8604,0.0,0,0,0,0.0528,0,0.0,0,0.9472
7,2023-11-07,71,xiaohongshu.com,34,0.0,0.0845,0.9155,0.0,0,0,0,0.0,0,0.0,0,1.0
8,2023-11-08,47,chat.openai.com,22,0.4681,0.0,0.5319,0.0,0,0,0,0.4681,0,0.0,0,0.5319
9,2023-11-09,64,chat.openai.com,33,0.5156,0.3438,0.1406,0.0,0,0,0,0.5156,0,0.0,0,0.4844
10,2023-11-10,69,career.huawei.com,27,0.3333,0.1014,0.5652,0.2899,0,0,0,0.0435,0,0.0,0,0.6667
11,2023-11-11,7,google.com,5,0.0,0.0,1.0,0.0,0,0,0,0.0,0,0.0,0,1.0
12,2023-11-13,39,youtube.com,27,0.1282,0.6923,0.1795,0.0,0,0,0,0.1282,0,0.0,0,0.8718
13,2023-11-14,57,career.huawei.com,21,0.0,0.3158,0.6842,0.0,0,0,0,0.0,0,0.0,0,1.0
14,2023-11-16,80,google.com,28,0.0,0.175,0.825,0.0,0,0,0,0.0,0,0.0,0,1.0
15,2023-11-17,11,career.huawei.com,6,0.0,0.0,1.0,0.0,0,0,0,0.0,0,0.0,0,1.0
16,2023-11-18,22,linkedin.com,12,0.0,0.0,1.0,0.0,0,0,0,0.0,0,0.5455,0,0.4545
17,2023-11-19,2,chat.openai.com,2,1.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0,0.0
18,2023-11-20,87,docs.google.com,40,0.0,0.3448,0.6552,0.0,0,0,0,0.0,0,0.0,0,1.0
19,2023-11-21,74,docs.google.com,38,0.027,0.2297,0.7432,0.0,0,0,0,0.027,0,0.0541,0,0.9189
20,2023-11-22,70,youtube.com,41,0.0,0.5857,0.4143,0.0,0,0,0,0.0,0,0.0,0,1.0
21,2023-11-23,72,youtube.com,21,0.0,0.2917,0.7083,0.0,0,0,0,0.0,0,0.0,0,1.0
22,2023-11-24,167,youtube.com,74,0.018,0.4431,0.5389,0.0,0,0,0,0.018,0,0.0,0,0.982
23,2023-11-25,7690,bohpimdoclnmgldeegbpibkhmpkhblbf,7582,0.0003,0.0035,0.9962,0.0,0,0,0,0.0003,0,0.0,0,0.9997
24,2023-11-26,7722,bohpimdoclnmgldeegbpibkhmpkhblbf,7687,0.0005,0.0022,0.9973,0.0,0,0,0,0.0005,0,0.0,0,0.9995
25,2023-11-27,110,youtube.com,62,0.0545,0.5636,0.3818,0.0,0,0,0,0.0545,0,0.0,0,0.9455
26,2023-11-28,167,github.com,36,0.2874,0.1856,0.5269,0.2156,0,0,0,0.0719,0,0.0599,0,0.6527
27,2023-11-29,347,xiaohongshu.com,76,0.2824,0.147,0.5706,0.17,0,0,0,0.1124,0,0.098,0,0.6196
28,2023-11-30,144,github.com,50,0.4792,0.1042,0.4167,0.3472,0,0,0,0.1319,0,0.0069,0,0.5139
29,2023-12-01,90,youtube.com,34,0.2444,0.3778,0.3778,0.0111,0,0,0,0.2333,0,0.0,0,0.7556
30,2023-12-02,117,tableau.com,30,0.1966,0.1282,0.6752,0.1795,0,0,0,0.0171,0,0.0,0,0.8034
